"Gene_symbol"	"ACC_Log2FC"	"BLCA_Log2FC"	"BRCA_Log2FC"	"HNSC_Log2FC"	"KIRC_Log2FC"	"LAML_Log2FC"	"LGG_Log2FC"	"LIHC_Log2FC"	"LUAD_Log2FC"	"LUSC_Log2FC"	"PAAD_Log2FC"	"SKCM_Log2FC"	"THCA_Log2FC"
"ACTC1"	-0.916	-7.329	-0.8	-3.071	0.081	-0.551	-1.051	-0.237	-1.099	-1.142	-0.172	-1.998	-1.694
"ACTG2"	-1.562	-5.422	-3.719	0.041	2.481	-0.915	-0.774	0.557	-3.017	-3.287	2.513	-3.286	-1.952
"ACTN1"	-1.022	-1.099	-0.535	1.341	0.934	0.947	-0.921	0.371	-0.74	-0.353	2.695	0.696	-0.009
"ACTR1B"	-0.766	-0.331	-0.435	0.01	0.143	-0.322	-0.69	0.279	-0.42	-0.383	0.232	-0.579	-0.282
"ACTR3"	-1.006	-0.116	1.043	0.239	0.544	-0.409	1.388	0.964	0.673	1.32	2.751	1.071	0.425
"ACTR3C"	-1.298	0.257	0.34	-0.225	-0.558	-0.956	-1.011	-0.263	0.482	0.406	-0.003	-0.91	0.002
"ACTR6"	0.616	-0.116	0.393	0.388	-0.004	-2.11	0.715	0.595	0.278	0.646	1.515	0.461	0.153
"ACVR2B"	-0.624	0.255	0.259	0.347	-0.175	-1.994	0.953	-0.026	0.156	0.065	0.057	0.933	-0.1
"ACVRL1"	-1.158	-1.56	-1.758	0.294	0.689	-0.439	0.149	0.901	-3.339	-3.824	1.289	-1.4	-1.608
"AD000684.2"	-0.704	0.043	-0.194	0.119	0.148	1.038	-0.303	-0.421	-0.585	-0.559	-0.178	-0.441	-1.648
"ADAM15"	-0.666	0.695	0.144	0.047	0.606	0.918	0.047	1.286	-0.053	-0.721	2.194	-1.135	-0.401
"ADAM17"	-0.539	0.648	0.378	0.876	0.471	0.216	1.445	0.434	-0.371	0.55	1.866	0.172	0.005
"ADAM19"	-0.894	-0.833	0.857	1.275	0.992	0.93	-0.268	-0.224	-0.699	-0.656	2.925	1.311	-1.108
"ADAM22"	-1.142	-0.434	-0.202	0.055	-0.156	0.953	0.834	0.054	-0.204	-0.386	1.322	0.168	-1.448
"ADAM28"	-1.204	-1.191	0.064	0.274	1.141	5.357	1.747	-0.061	0.867	0.123	3.433	-0.402	-0.464
"ADAM33"	-1.994	-4.107	-4.222	-0.221	-0.404	-0.073	-2.343	-0.555	-3.763	-3.769	-0.259	-4.55	-4.071
"ADAM9"	-1.019	-0.482	0.254	0.646	0.524	-0.963	1.693	0.791	-0.087	-0.218	3.53	0.165	0.093
"ADAMTS1"	-2.016	-3.686	-2.952	-0.347	-0.024	0.226	-0.892	-1.086	-3.456	-2.788	0.789	-0.969	-2.434
"ADAMTS10"	-2.893	-1.08	-2.272	0.465	1.476	2.39	-0.822	-0.33	-2.571	-3.155	0.08	-3.34	-2.083
"ADAMTS12"	-1.079	-0.045	-0.114	1.466	0.212	-0.014	1.244	-0.069	-0.389	-0.197	2.674	-0.133	-0.586
"ADAMTS17"	-0.729	-0.543	0.277	0.129	-0.201	0.386	0.031	-0.436	-0.868	0.015	-0.972	-0.517	0.01
"ADAMTS2"	-2.168	-0.789	-0.293	2.645	1.114	0.845	-0.742	-1.2	-2.266	-2.021	2.94	-0.45	-1.773
"ADAMTS4"	-0.81	-1.68	-1.063	1.154	1.708	-0.793	0.39	0.159	-2.056	-1.974	1.858	0.435	-2.566
"ADAMTSL1"	-1.569	-0.933	-0.767	0.05	-1.033	-0.056	0.33	0.01	-0.547	-0.333	1.193	-0.57	-0.618
"ADAMTSL2"	-3.299	-0.078	0.837	0.938	-1.456	0.083	0.205	-1.574	-1.884	-2.732	1.996	0.188	-0.904
"ADAMTSL3"	-1.097	-2.413	-0.373	-0.351	0.122	0.042	0.19	-0.344	-2.242	-2.505	-0.052	-0.713	-0.418
"ADAMTSL4"	-2.106	-2.315	-2.984	-0.33	1.535	-2.527	0.04	-0.337	-2.77	-3.442	1.688	-2.47	-1.306
"ADAP2"	-1.268	-0.136	0.31	0.733	1.645	2.911	1.76	0.326	-0.202	-0.843	1.282	-0.281	-0.067
"ADAR"	-0.845	0.259	0.88	1.105	-0.009	1.091	0.709	0.762	0.276	-0.015	1.619	0.806	-0.272
"ADARB1"	-0.829	-1.708	-0.536	0.682	0.326	0.079	-1.286	-0.124	-2.574	-2.882	0.732	-0.228	-0.473
"ADAT2"	-1.562	0.373	-1.185	0.553	0.285	0.042	-0.055	-1.071	-1.387	-1.221	-0.544	-1.177	-2.089
"ADAT3"	-0.572	0.44	-0.17	0.156	-0.379	0.124	0.133	-0.288	-0.536	-0.487	0.31	-1.721	-1.183
"ADCK2"	1.015	0.74	1.04	0.219	0.838	-0.161	0.549	1.234	0.512	0.778	1.75	0.05	0.439
"ADCK3"	-2.218	-1.148	-0.908	-0.921	-0.077	0.117	0.59	0.391	-0.166	-0.557	-1.37	-0.656	-0.538
"ADCK5"	-0.816	0.715	0.01	0.93	0.166	-0.616	-0.553	0.368	-0.067	-0.015	0.802	-0.45	-1.066
"ADCY1"	-0.513	0.13	0.594	0.251	-0.554	0.054	-2.593	-1.869	-0.112	-0.166	-0.297	2.315	-0.342
"ADCY10P1"	-0.826	0.306	-0.909	0.173	0.225	1.75	-0.358	-0.429	-1.279	-1.135	-0.569	-0.952	-2.498
"ADCY2"	-0.965	-2.04	-0.523	-1.17	0.456	0.073	0.849	-0.014	-0.466	-0.135	1.163	-2.208	-0.772
"ADCY3"	-0.598	-0.136	-1.488	1.052	1.157	0.421	-0.478	0.4	-1.292	-0.44	1.751	-0.751	-2.204
"ADCY4"	-2.375	-1.42	-3.558	0.252	0.324	2.38	-1.067	-0.297	-3.69	-4.272	0.297	-3.119	-3.228
"ADCY5"	-1.278	-3.758	-1.924	-0.648	0.509	0.128	-0.81	-0.53	-1.567	-1.408	0.064	-1.233	-1.113
"ADCY6"	-1.187	-0.254	-0.831	-0.485	-0.374	2.062	-0.319	-0.089	-0.876	-1.887	0.034	-0.229	-1.488
"ADCY7"	-1.546	-0.101	0.166	0.694	1.485	0.717	1.429	-0.17	-0.851	-1.286	2.202	-0.985	-0.384
"ADD3"	-0.935	-0.64	-1.652	-0.055	-0.463	1.101	0.758	0.146	-0.858	-0.203	1.046	-1.251	-1.152
"ADGRA3"	-0.528	-0.274	-0.481	0.738	-0.161	3.5	1.251	-1.186	0.36	0.603	0.694	1.275	-1.601
"ADGRD1"	-0.866	-4.167	-2.166	-0.424	-0.697	-1.762	-0.38	-0.505	-2.177	-4.277	0.506	-2.391	-0.67
"ADGRE2"	-1.066	0.438	-0.153	0.954	1.171	1.946	0.283	-0.247	-1.054	-1.056	1.011	0.423	-0.14
"ADGRE4P"	-0.844	-0.047	-0.239	0.041	0.27	1.188	0.3	-0.222	-1.256	-1.454	0.151	-0.696	-0.077
"ADGRE5"	-0.725	-0.579	-0.431	0.854	1.288	2.771	1.071	0.139	-0.936	-2.104	2.256	2.046	0.451
"ADGRF5"	-1.223	-1.044	-2.086	0.704	-0.341	0.014	0.279	0.446	-1.506	-3.966	1.349	-0.869	-0.796
"ADGRG6"	-0.598	-0.523	-0.535	-0.872	1.197	0.313	0.384	-0.837	-0.986	-1.847	2.355	-0.626	-0.869
"ADGRL2"	-1.404	-1.138	-1.366	-0.617	0.475	0.336	-1.278	-0.344	-2.951	-2.7	1.348	-2.009	-0.913
"ADGRV1"	-4.648	0.08	0.16	0.34	-1.285	-3.982	0.315	0.237	-0.374	-0.066	-0.332	-0.182	-2.879
"ADH1B"	-5.084	-6.413	-6.669	-2.633	-3.738	-0.497	-0.55	-1.294	-5.057	-6.825	-0.672	-6.664	-5.708
"ADHFE1"	-1.879	-2.071	-2.321	-0.826	-1.242	3.633	0.411	-0.798	-2.341	-2.603	-2.07	-1.154	-2.178
"ADIRF"	-0.916	0.975	-1.683	-0.212	1.229	-0.517	-0.181	-0.565	-2.634	-2.286	1.901	-4.885	-0.846
"ADIRF-AS1"	-1.88	-0.256	-2.09	0.788	0.255	1.573	-1.225	-0.286	-2.533	-1.624	-1.039	-4.554	-2.441
"ADNP-AS1"	-0.647	-0.066	-0.387	0.044	0.02	1.212	0.391	-0.187	-0.647	-0.566	0.111	-0.585	-0.442
"ADORA2A"	-0.734	-0.298	0.91	0.693	0.714	1.554	-0.568	-0.362	-1.137	-1.508	1.261	0.326	-0.798
"ADORA3"	-1.646	-0.047	0.275	0.589	1.294	0.719	1.706	-0.662	-0.202	-0.719	1.399	1.049	-0.076
"ADPRH"	-1.219	-0.678	-0.574	0.367	0.649	1.535	0.816	0.427	-0.932	-1.206	0.712	1.527	-0.322
"ADPRHL1"	-1.17	0.075	0.807	-0.658	-0.556	-0.088	-1.338	0.204	0.958	0.348	0.035	-0.917	-0.441
"ADRBK1"	-0.68	0.163	0.008	0.369	0.493	2.129	-0.874	0.007	-0.898	-0.859	1.863	-0.982	-0.778
"ADRBK2"	-1.004	0.073	-0.619	0.943	0.491	1.793	-0.452	0.496	-0.338	-0.332	0.66	0.627	-0.229
"ADRM1"	0.563	0.682	0.446	0.708	0.191	-1.333	0.589	0.811	0.31	0.683	1.483	0.597	0.108
"ADSL"	-0.544	0.065	0.175	0.516	0.445	-0.086	1.322	1.079	0.294	0.987	0.697	1.573	0.12
"AEBP1"	-2.836	-1.439	0.398	2.325	0.72	2.03	0.767	-0.022	-1.097	-1.409	4.337	1.529	-1.535
"AEN"	0.522	-0.157	0.522	0.618	1.186	-0.324	1.001	0.57	0.044	0.221	0.473	2.019	-0.039
"AF011889.2"	-0.64	-0.134	-0.689	0.053	0.251	1.429	-0.399	-0.09	-1.049	-1.146	-0.371	-0.981	-2.008
"AF131215.2"	-0.719	-0.657	-0.837	-0.282	-0.561	0.864	1.355	-0.144	-1.359	-1.158	-0.447	-0.917	0.148
"AFF1"	-1.164	-1.022	-0.743	-0.483	-0.19	1.324	0.264	-0.347	-0.864	-1.377	0.552	-1.268	-0.374
"AFG3L1P"	-1.267	0.092	-0.85	0.633	0.419	0.548	-0.247	-1.134	-1.267	-1.305	-0.128	-1.06	-1.954
"AGAP1"	0.557	-0.228	0.744	0.1	0.142	-2.715	-0.486	0.588	0.394	0.349	1.385	0.526	0.248
"AGAP11"	-0.585	-0.43	-2.762	0	0.378	-1.924	-0.47	-0.244	-2.029	-2.051	-0.337	-2.116	-2.247
"AGAP4"	-1.156	0.125	-1.041	0.537	0.578	0.53	-0.738	-1.015	-1.277	-1.419	-0.155	-1.872	-2.044
"AGAP5"	-1.414	0.089	-0.718	0.314	0.705	1.115	-0.157	-1.005	-1.045	-1.436	-0.899	-1.779	-1.74
"AGAP6"	-0.947	0.221	-1.304	0.754	0.733	0.127	-0.558	-1.607	-1.655	-1.847	-0.483	-1.849	-2.446
"AGAP9"	-1.378	-0.572	-1.311	0.434	0.341	1.245	-0.628	-1.895	-1.324	-1.629	-0.657	-2.646	-2.348
"AGBL2"	-1.409	0.277	0.097	0.44	0.404	0.738	0.286	-0.256	-0.313	-0.268	0.253	0.119	-1.176
"AGBL5"	-0.828	-0.312	0.229	0.506	-0.155	-1.045	0.406	1.051	0.377	0.743	0.944	0.6	-0.111
"AGER"	-0.931	-0.14	-1.332	0.554	1	0.452	0.43	-1.073	-5.336	-6.501	0.266	-1.332	-1.711
"AGFG1"	-0.602	-0.096	0.082	0.704	0.051	0.387	0.764	0.666	-0.248	-0.021	1.865	0.413	0.002
"AGL"	-0.619	-0.85	0.34	-0.3	-0.852	-0.108	0.372	-0.873	0.152	0.383	0.852	-0.021	-0.466
"AGO1"	-0.656	-0.362	0.299	0.422	0.224	0.735	0.863	0.287	-0.012	0.09	0.81	0.216	-0.133
"AGO2"	-0.515	0.163	-0.055	1.069	0.25	0.825	0.693	0.498	-0.528	0.184	1.125	-0.098	-0.882
"AGO3"	-0.704	-0.2	-0.11	0.611	-0.031	0.906	0.605	-0.39	-0.39	0.051	0.402	0.14	-0.831
"AGO4"	-1.549	-0.521	-0.559	0.056	0.257	2.231	0.534	-0.284	-0.904	-1.102	0.166	-1.399	-0.891
"AGPAT2"	0.521	0.572	-1.491	0.297	-0.371	0.647	-0.19	-0.822	0.226	-0.761	1.097	0.416	0.543
"AGPAT3"	-0.52	0.271	0.64	-0.209	-0.06	-0.705	0.517	0.391	0.101	-0.191	0.954	0.318	-0.216
"AGPAT6"	-0.572	0.05	0.409	0.336	-0.007	-0.358	1.185	0.011	-0.249	-0.722	0.971	1.326	-0.385
"AGPAT9"	0.863	-1.317	-1.123	-0.847	-2.5	-2.262	-0.702	0.389	-0.299	-0.364	1.565	-0.375	-1.059
"AGT"	-0.921	-0.769	0.443	-1.054	1.139	-0.007	1.924	0.612	-0.035	-1.36	2.4	0.16	-1.462
"AGTPBP1"	-0.573	-0.245	-0.416	0.211	-0.108	2.512	-0.367	0.021	-1.47	-1.393	0.725	0.007	-0.481
"AGTR1"	-1.488	-2.951	-2.984	-0.158	-0.414	0.109	-0.026	-0.843	-2.784	-3.129	-0.121	-3.232	-3.179
"AHCYL1"	-0.992	-0.578	0.276	-0.015	-0.664	-1.108	0.839	0.516	0.035	-0.232	1.122	0.142	-0.002
"AHDC1"	-0.545	-1.013	-0.62	-0.213	0.045	0.731	0.327	-0.146	-0.386	-0.258	1.092	-1.831	-0.692
"AHI1"	-1.556	-0.515	-0.55	0.338	-0.166	-0.6	-1.632	-0.965	-1.067	-1.486	-0.234	-0.894	-1.033
"AHNAK"	-1.484	-1.408	-0.939	-0.407	0.232	1.602	1.32	0.351	-1.956	-1.208	2.826	-2.933	-0.655
"AHRR"	0.943	-0.45	-0.01	0.267	0.204	-0.669	-0.664	-0.076	-0.633	-0.308	0.141	-1.059	-0.659
"AHSA2"	-2.636	0.34	-1.864	1.304	1.43	0.902	-0.255	-1.15	-2.042	-1.97	-0.566	-2.328	-2.758
"AIF1"	-1.039	-0.324	0.51	0.723	1.132	3.044	3.06	0.937	-0.459	-1.097	3.689	1.819	0.948
"AIF1L"	1.506	-1.042	-1.433	-1.384	-2.818	0.631	1.061	0.838	-0.641	-1.071	0.384	1.183	-1.265
"AIMP2"	0.731	0.608	0.736	0.381	-0.54	-0.621	1.832	1.007	0.943	1.174	1.814	0.915	-0.082
"AK3"	-0.546	-0.628	-0.665	-0.446	-1.203	0.182	0.832	-0.136	-0.334	-0.445	1.015	-0.837	-0.157
"AK4"	1.265	-1.38	-0.417	0.808	0.429	-2.962	-0.266	0.098	1.561	2.977	2.929	-1.302	0.116
"AK7"	-0.952	-0.203	-0.062	-0.308	-0.834	-1.143	-0.537	0.1	-0.064	-0.568	1.175	-1.936	-0.595
"AKAP1"	-0.685	-0.785	-0.405	-0.141	-0.32	-0.234	0.496	0.286	0.388	0.178	1.507	-0.706	-0.6
"AKAP10"	-0.747	-0.525	-0.201	0.388	0.19	1.896	0.442	-0.242	-0.373	-0.488	0.945	-0.315	-0.503
"AKAP11"	-0.619	-1.126	-0.256	0.121	-0.271	0.5	0.413	-0.114	-0.52	-0.68	1.375	0.074	-0.365
"AKAP12"	-1.947	-2.838	-2.727	-0.514	0.179	-1	-0.74	-0.456	-2.733	-3.031	2.538	1.051	-1.706
"AKAP17A"	-1.061	-0.083	-1.041	0.225	0.288	0.714	0.291	-1.246	-1.56	-1.799	-0.562	-1.293	-1.881
"AKAP2"	-0.502	-2.055	-1.706	0.487	0.011	4.102	0.113	-0.141	-2.072	-2.801	2.526	0.318	-0.788
"AKAP7"	-1.371	-1.285	-0.592	-0.161	0.059	1.882	0.835	-0.538	-0.738	-0.513	-0.914	0.475	-0.372
"AKAP8L"	-0.55	0.023	-0.706	0.581	0.246	-0.154	-0.233	-0.746	-1.532	-1.418	0.234	-1.226	-2.026
"AKAP9"	-0.535	-0.043	0.14	-0.099	-0.524	1.413	0.232	-0.486	-0.67	-1.057	0.306	-0.79	-0.472
"AKIP1"	-0.58	-0.119	0.302	0.666	0.434	-1.445	0.654	1.121	0.057	0.153	1.748	1.189	0.245
"AKNA"	-0.679	-0.829	-0.697	0.46	1.377	3.105	1.314	-0.452	-1.199	-2.031	1.546	0.333	0.263
"AKR1B1"	-1.725	0.499	-0.733	1.25	0.569	2.932	0.939	0.677	-0.529	0.098	1.793	1.744	-0.323
"AKR1B10"	-1.605	-3.063	-0.067	0.08	-0.489	-0.084	0.041	5.472	0.925	5.85	4.253	-2.265	-0.449
"AKR1C2"	-1.262	-1.162	-4.632	0.382	-0.451	-4.75	-0.497	1.25	-0.826	3.993	2.068	-4.351	-3.59
"AKR7A2"	-0.56	0.305	0.573	0.113	-0.168	-0.897	0.989	0.639	0.453	0.419	1.167	0.778	0.304
"AKR7A3"	-1.244	0.106	2.054	-0.107	-1.257	0.049	-0.447	-0.565	0.749	-0.106	-2.527	-1.064	-0.88
"AKT1"	-0.699	-0.031	0.507	0.53	0.101	0.471	0.864	-0.137	-0.245	-0.181	1.216	1.09	-0.064
"AKT2"	-0.505	-0.281	0.047	-0.02	-0.297	0.791	0.42	-0.065	-0.232	0.116	0.686	0.246	-0.385
"AKT3"	-1.083	-1.995	-1.357	0.846	0.067	1.852	0.171	-0.078	-1.908	-1.723	1.701	2.063	-0.287
"AKTIP"	-0.51	-0.702	-0.293	-0.456	-0.24	0.503	0.086	-0.061	-0.485	-0.833	1.201	-1.195	-0.175
"AL158801.1"	1.683	0.253	1.549	0.519	0.397	0.382	1.547	1.323	1.906	2.381	1.698	2.12	1.411
"AL162151.3"	-2.429	-2.384	-1.508	-0.751	0.231	-9.686	3.021	2.187	-1.295	1.618	1.21	1.649	1.333
"AL450992.2"	-0.93	0.46	0.18	-0.222	-0.169	0.31	-1.221	0.774	1.383	-0.013	0.472	-1.004	0.281
"ALAD"	-2.006	-0.969	-0.182	-0.338	-0.761	1.572	0.113	0.01	-0.161	-0.518	0.157	-0.665	-0.351
"ALAS1"	-2.037	0.122	0.183	-0.245	-0.946	0.218	0.221	0.062	-0.023	-0.481	2.398	1.037	0.058
"ALCAM"	-1.036	-0.7	1.351	0.806	0.267	4.259	1.93	0.785	0.082	-0.133	1.069	-0.537	0.396
"ALDH1A1"	-3.051	-2.336	-2.521	-3.23	0.141	-3.766	-0.427	1.068	-1.87	-0.219	0.218	0.435	-1.04
"ALDH1A3"	-2.555	-1.175	-1.523	-0.963	-0.24	0.571	-2.023	-0.374	0.109	0.299	2.289	2.285	1.833
"ALDH1L1"	-1.96	-2.09	-3.384	-2.71	-0.904	-1.353	0.53	-0.143	-0.781	-0.416	-1.503	-1.573	-1.074
"ALDH1L2"	-0.524	-0.917	0.004	0.834	0.347	-2.098	0.917	0.027	-0.458	-0.037	-1.596	0.274	-1.144
"ALDH2"	-0.68	-2.3	-1.346	-0.863	-0.409	-0.598	0.491	-0.345	-0.603	-1.73	2.559	-3.376	-0.615
"ALDH3A1"	-0.754	-1.07	-1.322	-2.394	0.276	0.158	-0.12	1.119	0.14	3.831	2.692	-4.414	-0.173
"ALDH3A2"	-1.339	-0.622	-0.281	-0.692	-0.507	4.036	1.212	0.496	0.142	-0.086	0.13	-2.479	0.307
"ALDH3B1"	-1.512	-0.602	0.238	-0.693	0.925	4.27	1.345	0.765	-0.395	-3.102	3.217	1.09	2.261
"ALDH4A1"	-0.743	-0.74	-0.324	-0.415	-1.84	-0.66	0.332	-0.671	0.009	0.674	1.287	0.314	-0.888
"ALDH5A1"	-0.542	0.143	0.29	-0.374	-0.949	-0.092	0.773	0.012	0.84	0.531	0.82	-0.307	0.659
"ALDH6A1"	-0.765	-1.1	-0.141	-0.855	-2.076	1.085	0.181	-0.715	-0.01	-0.56	0.093	0.377	-0.256
"ALDH9A1"	-0.768	-0.761	0.104	-0.89	-0.507	-0.092	1.325	0.113	-0.144	-0.109	1.224	-0.159	-0.119
"ALDOA"	0.844	0.231	0.984	0.166	1.184	-3.182	-0.473	1.139	0.831	1.192	2.296	0.835	0.012
"ALDOC"	2.011	0.014	-1.827	0.618	2.955	-6.108	0.554	0.173	0.48	1.652	2.598	-1.806	-0.937
"ALG12"	-0.572	0.078	0.374	0.362	0.038	0.732	0.914	0.805	0.17	0.198	0.804	0.75	-0.411
"ALG14"	-0.587	0.32	0.383	0.065	-0.013	-0.716	0.774	0.939	0.611	0.333	0.859	1.229	0.502
"ALKBH2"	0.624	0.323	0.081	0.472	0.639	-1.385	1.692	1.024	0.258	0.775	1.055	0.008	-0.207
"ALKBH7"	1.002	0.048	0.253	-0.493	-0.188	-1.12	0.975	0.49	0.081	0.03	0.543	0.426	0.085
"ALOX12-AS1"	-0.53	-0.54	-0.678	0.126	-0.059	0.832	1.145	0.281	-0.878	-0.968	0.5	-0.275	-0.889
"ALOX15B"	-1.063	-0.149	-1.046	-0.621	0.767	0.11	0.171	0.093	-1.236	-3.058	1.322	-3.269	2.495
"ALOX5"	-2.652	-0.294	-0.65	0.115	2.118	1.448	1.138	-0.636	-2.573	-3.579	1.555	-1.086	1.303
"ALOX5AP"	-2.184	-1.027	0.616	0.155	1.121	5.701	2.652	-0.155	-1.729	-2.594	3.517	0.857	1.095
"ALPK1"	-0.818	-0.052	-0.481	0.17	0.247	2.238	0.598	-0.493	-0.795	-1.139	1.083	-1.002	-0.764
"ALPL"	-1.562	0.137	-1.741	0.87	0.468	0.492	0.355	-1.833	-1.737	-2.676	0.844	0.117	-0.332
"ALS2CL"	-2.297	0.921	-1.73	-0.658	-2.324	1.991	-2.623	-0.878	-2.196	-2.539	0.958	-5.421	-1.802
"AMDHD1"	-1.767	-0.219	-0.167	0.272	0.133	0.613	0.128	-1.1	-0.356	-0.444	-0.291	-0.339	-0.267
"AMDHD2"	-0.686	0.191	-0.063	0.717	0.626	0.371	-0.207	0.847	-0.793	-1.067	1.287	0.686	-0.845
"AMFR"	0.538	-0.115	0.69	0.035	-1.023	-0.92	1.208	0.419	0.174	0.4	1.792	0.664	0.677
"AMH"	1.404	0.488	0.136	0.27	0.263	-1.877	1.054	-0.146	-0.735	-0.548	-0.471	-0.476	-0.861
"AMICA1"	-1.006	-1.288	-0.015	-0.147	1.73	4.173	0.288	0.642	-1.572	-2.534	2.833	0.299	0.171
"AMIGO1"	-1.045	-0.928	-0.172	-0.722	-0.042	0.539	-0.814	0.14	-0.385	-0.667	0.029	-0.241	0.042
"AMMECR1L"	-0.766	-0.072	-0.024	0.65	0.106	0.084	1.09	-0.124	-0.082	0.038	1.051	0.37	-0.685
"AMOTL1"	-0.777	-1.442	-1.155	-0.011	0.465	-1.738	1.653	-0.085	-1.592	-0.299	0.715	-0.115	-0.718
"AMOTL2"	-1.185	-1.164	-1.499	-0.281	-0.064	0.145	1.877	-0.385	-1.073	-1.497	1.114	-1.247	-0.6
"AMPD2"	-0.976	0.168	-0.375	0.827	0.469	1.693	-0.453	-0.574	-1.323	-1.246	1.033	0.067	-1.569
"AMPD3"	-1.956	-0.343	0.37	0.535	0.139	0.288	0.065	0.102	0.103	-0.084	1.536	-1.934	-0.009
"AMT"	-3.23	-1.121	-2.309	0.243	-1.13	1.596	-0.535	-0.184	-1.927	-2.709	-0.499	-2.789	-2.358
"AMY2B"	-1.594	-1.32	-2.594	-0.304	0.902	3.432	-1.771	-0.912	-2.443	-3.569	-6.91	-3.33	-2.517
"AMZ2P1"	-0.905	-0.736	-0.233	0.169	0.338	0.489	-0.167	0.415	-0.317	-0.188	0.653	0.377	-0.776
"ANAPC1"	-0.57	0.196	0.023	0.568	0.036	-0.196	0.271	0.23	-0.048	0.425	0.688	0.04	-0.657
"ANAPC11"	0.608	1.037	0.845	0.623	-0.052	-1.898	0.8	1.327	0.827	0.929	1.692	0.911	0.311
"ANAPC15"	-0.713	0.032	0.444	0.276	-0.413	-0.846	-0.361	0.584	0.071	0.362	1.259	-0.058	-0.185
"ANAPC2"	-0.602	-0.235	-0.633	0.379	0.382	1.243	0.345	0.021	-1.213	-1.313	-0.12	-1.333	-1.574
"ANAPC4"	-1.231	-0.308	-0.62	0.429	0.199	0.632	0.055	-0.15	-0.759	-0.933	0.188	-0.778	-1.197
"ANGEL1"	-1.106	-0.08	-0.388	0.758	-0.09	0.765	0.52	-0.445	-0.697	-0.777	-1.028	0.673	-0.866
"ANGEL2"	-0.736	-0.052	0.026	0.296	0.316	1.131	0.755	0.307	-0.322	-0.346	0.552	-0.347	-0.708
"ANGPT2"	2.169	0.119	-0.484	1.301	3.485	1.176	0.749	0.839	-0.109	-0.095	1.86	0.128	-0.841
"ANGPTL1"	-3.679	-3.614	-3.164	-1.259	-2.736	0.745	0.655	-0.82	-2.675	-3.076	0.012	-2.358	-2.081
"ANGPTL2"	1.286	-2.1	-1.468	0.531	1.601	0.203	4.331	0.119	-0.238	-0.337	3.286	-0.896	-0.825
"ANGPTL4"	-1.147	-0.546	-3.45	0.416	5.995	-0.31	-0.208	-0.297	-0.176	-0.556	0.391	-0.9	-0.011
"ANGPTL7"	-1.263	-1.286	-1.951	-0.479	-0.181	0.781	-0.131	-0.043	-0.936	-0.916	0.526	-0.714	-0.429
"ANK2"	-1.444	-2.595	-1.934	-0.986	-2.55	0.044	-0.328	-0.032	-0.984	-1.617	1.375	0.552	-2.349
"ANK3"	-0.779	-0.183	0.919	-0.375	-1.163	-3.301	-1.36	-1.142	0.136	0.172	0.871	-4.133	-0.323
"ANKAR"	-0.639	-0.658	-0.892	-0.004	0.465	2.879	0.348	0.168	-0.624	-0.792	-0.095	-0.319	-0.952
"ANKDD1A"	-0.76	-0.92	-1.331	0.098	0.385	2.024	-0.744	-0.041	-1.538	-1.399	-0.27	0.586	-1.376
"ANKFY1"	-1.47	-0.463	-0.326	0.339	-0.199	1.718	1.644	-0.272	-0.697	-0.885	0.761	-0.078	-0.232
"ANKH"	-0.506	-0.251	0.521	0.826	0.239	0.675	0.384	0.678	0.464	1.043	2.382	-0.667	0.536
"ANKLE2"	-0.572	0.527	-0.3	0.842	0.603	0.922	0.546	0.036	-0.595	-0.317	1.202	-0.965	-0.422
"ANKRD10"	-1.088	-0.009	-0.752	0.538	0.429	0.769	0.583	-0.576	-1.114	-1.629	0.965	-0.269	-1.404
"ANKRD10-IT1"	-1.596	-0.018	-1.097	0.495	0.693	0.894	0.558	-0.957	-1.39	-2.005	-0.089	-0.969	-2.126
"ANKRD12"	-0.52	-0.819	-0.344	-0.008	-0.021	1.053	0.791	-0.327	-0.546	-0.676	0.694	-0.876	-0.532
"ANKRD13B"	-0.887	0.015	-0.425	0.947	0.628	-0.384	-0.225	0.162	-0.813	0.227	0.782	-0.374	-1.704
"ANKRD13C"	-0.552	-0.408	0.018	0.223	-0.005	0.593	0.462	0.128	-0.002	-0.243	1.07	-0.052	-0.183
"ANKRD13D"	-0.733	0.413	-0.031	0.795	0.52	2.52	-0.762	-0.066	-1.054	-1.002	1.569	-1.036	-0.987
"ANKRD17"	-0.556	-0.252	0.196	0.332	-0.169	0.195	0.111	0.141	-0.133	-0.092	0.777	0	-0.446
"ANKRD23"	-1.002	-0.063	-0.455	-1.412	0.336	0.058	0.068	-0.605	-0.492	-0.465	-0.125	-1.189	-1.418
"ANKRD24"	-0.514	-0.365	-0.202	-0.049	-0.04	0.205	-2.471	-0.876	-0.456	-0.639	-0.585	-0.238	-0.902
"ANKRD28"	-0.943	-0.162	-0.197	-0.195	-0.593	1.843	0.77	-0.002	-0.339	-0.754	0.379	0.59	-0.464
"ANKRD32"	0.571	0.485	0.365	0.56	0.576	-0.144	-1.021	0.269	0.188	0.258	0.487	0.409	-0.212
"ANKRD35"	-0.607	-1.536	-1.529	-1.844	-0.092	0.335	-0.802	-0.226	-0.511	-0.511	1.187	-5.302	-1.109
"ANKRD36"	-0.934	-0.042	-1.011	0.672	0.437	1.822	-0.401	-0.061	-1.231	-1.247	-0.299	-1.428	-1.435
